"source","sample_size","tau","estimator_code","estimator","RMSE","MAE","BIAS"
"Authors",500,0.1,"exact","oracle-GMM",0.188846133837236,0.151034438352488,-0.0893515655446008
"Authors",500,0.1,"nonexact","GMM",0.496335127134216,0.255929613303775,-0.177551565544601
"Authors",500,0.1,"fullgmm","full-GMM",0.764835294818159,0.664575027776676,-0.653351565544601
"Authors",500,0.1,"hdm","DML-IVQR",0.31127878354956,0.238911639131906,-0.203951565544601
"Authors",500,0.25,"exact","oracle-GMM",0.121080813377661,0.0966775490086276,-0.0334897501960817
"Authors",500,0.25,"nonexact","GMM",0.178293935300836,0.117934696986666,-0.0254897501960817
"Authors",500,0.25,"fullgmm","full-GMM",0.271243806065074,0.22129793211608,-0.187689750196082
"Authors",500,0.25,"hdm","DML-IVQR",0.156215928401408,0.125436720062746,-0.0796897501960817
"Authors",500,0.5,"exact","oracle-GMM",0.0989949493661167,0.0716,0.00919999999999999
"Authors",500,0.5,"nonexact","GMM",0.143666279968544,0.1016,0.034
"Authors",500,0.5,"fullgmm","full-GMM",0.162788205960997,0.1234,0.019
"Authors",500,0.5,"hdm","DML-IVQR",0.116876002669496,0.0846,-0.0185999999999999
"Authors",500,0.75,"exact","oracle-GMM",0.137434771716422,0.106608155035295,0.0552897501960816
"Authors",500,0.75,"nonexact","GMM",0.240338501713403,0.171016310070589,0.129489750196082
"Authors",500,0.75,"fullgmm","full-GMM",0.342168553571507,0.280648948134904,0.250289750196082
"Authors",500,0.75,"hdm","DML-IVQR",0.149505820205547,0.116734688025098,0.0516897501960816
"Authors",500,0.9,"exact","oracle-GMM",0.243798864266084,0.183939263401202,0.122551565544601
"Authors",500,0.9,"nonexact","GMM",0.848316329776894,0.534057145588939,0.495951565544601
"Authors",500,0.9,"fullgmm","full-GMM",0.944913982011852,0.803217790203606,0.789151565544601
"Authors",500,0.9,"hdm","DML-IVQR",0.356760132751747,0.260873038742197,0.201151565544601
"Authors",1000,0.1,"exact","oracle-GMM",0.121921020263203,0.0950482504871361,-0.0551515655446008
"Authors",1000,0.1,"nonexact","GMM",0.163169601881902,0.113828950292282,-0.0627515655446008
"Authors",1000,0.1,"fullgmm","full-GMM",0.391753387806371,0.344208140106178,-0.330351565544601
"Authors",1000,0.1,"hdm","DML-IVQR",0.137612791224783,0.10850823209031,-0.0759515655446008
"Authors",1000,0.25,"exact","oracle-GMM",0.0812312948631073,0.065412245995294,-0.0256897501960817
"Authors",1000,0.25,"nonexact","GMM",0.0963886319244875,0.0754244919905881,-0.0234897501960817
"Authors",1000,0.25,"fullgmm","full-GMM",0.16461750635813,0.136110178111374,-0.113489750196082
"Authors",1000,0.25,"hdm","DML-IVQR",0.0991975517449701,0.0804204010305888,-0.0436897501960817
"Authors",1000,0.5,"exact","oracle-GMM",0.0689927532426414,0.0436,-0.002
"Authors",1000,0.5,"nonexact","GMM",0.0801249024960405,0.0542,0.00780000000000003
"Authors",1000,0.5,"fullgmm","full-GMM",0.103826778819339,0.0754,-0.000199999999999978
"Authors",1000,0.5,"hdm","DML-IVQR",0.0775886589650833,0.051,-0.0142
"Authors",1000,0.75,"exact","oracle-GMM",0.0828433066904717,0.0676326559874507,0.0212897501960816
"Authors",1000,0.75,"nonexact","GMM",0.114671452299303,0.0848734670101962,0.0442897501960815
"Authors",1000,0.75,"fullgmm","full-GMM",0.17474221413596,0.145232629102747,0.117489750196082
"Authors",1000,0.75,"hdm","DML-IVQR",0.0930138955423359,0.0741387789850978,0.0226897501960817
"Authors",1000,0.9,"exact","oracle-GMM",0.139128471215115,0.10671031310892,0.0667515655446009
"Authors",1000,0.9,"nonexact","GMM",0.348146934071943,0.196715801169127,0.161351565544601
"Authors",1000,0.9,"fullgmm","full-GMM",0.432021176534995,0.368188839911324,0.349551565544601
"Authors",1000,0.9,"hdm","DML-IVQR",0.164926018388931,0.12315307553585,0.0731515655446007
