"sample_size","tau","estimator_code","estimator","source_authors","RMSE_authors","MAE_authors","BIAS_authors","source_replication","RMSE_replication","MAE_replication","BIAS_replication","RMSE_difference","MAE_difference","BIAS_difference"
1000,0.1,"exact","oracle-GMM","Authors",0.121921020263203,0.0950482504871361,-0.0551515655446008,"Replication",0.119258530347619,0.0934268692736713,-0.0557515655446008,-0.00266248991558435,-0.00162138121346479,-0.000599999999999989
1000,0.1,"fullgmm","full-GMM","Authors",0.391753387806371,0.344208140106178,-0.330351565544601,"Replication",0.37832830474747,0.331060552630535,-0.320551565544601,-0.0134250830589007,-0.0131475874756432,0.00980000000000003
1000,0.1,"hdm","DML-IVQR","Authors",0.137612791224783,0.10850823209031,-0.0759515655446008,"Replication",0.137910907581751,0.109255819565953,-0.0753515655446008,0.00029811635696772,0.000747587475643199,0.000599999999999989
1000,0.1,"nonexact","GMM","Authors",0.163169601881902,0.113828950292282,-0.0627515655446008,"Replication",0.167930317517791,0.118648250487136,-0.0731515655446008,0.00476071563588898,0.00481930019485445,-0.0104
1000,0.25,"exact","oracle-GMM","Authors",0.0812312948631073,0.065412245995294,-0.0256897501960817,"Replication",0.0782418613267997,0.0642204099921568,-0.0224897501960817,-0.00298943353630757,-0.0011918360031373,0.00319999999999998
1000,0.25,"fullgmm","full-GMM","Authors",0.16461750635813,0.136110178111374,-0.113489750196082,"Replication",0.165421371042347,0.133632629102747,-0.108289750196082,0.000803864684216643,-0.00247754900862759,0.00519999999999998
1000,0.25,"hdm","DML-IVQR","Authors",0.0991975517449701,0.0804204010305888,-0.0436897501960817,"Replication",0.0920434200336457,0.0741346880250985,-0.0418897501960817,-0.00715413171132441,-0.00628571300549029,0.00180000000000002
1000,0.25,"nonexact","GMM","Authors",0.0963886319244875,0.0754244919905881,-0.0234897501960817,"Replication",0.0885861369610733,0.0699632709756859,-0.0168897501960817,-0.00780249496341412,-0.00546122101490222,0.00659999999999999
1000,0.5,"exact","oracle-GMM","Authors",0.0689927532426414,0.0436,-0.002,"Replication",0.0660302960768767,0.0404,-0.002,-0.00296245716576464,-0.0032,0
1000,0.5,"fullgmm","full-GMM","Authors",0.103826778819339,0.0754,-0.000199999999999978,"Replication",0.10373041983912,0.0748,0.000399999999999956,-0.0000963589802197712,-0.000600000000000003,0.000599999999999934
1000,0.5,"hdm","DML-IVQR","Authors",0.0775886589650833,0.051,-0.0142,"Replication",0.0762889244910426,0.0498,-0.0145999999999999,-0.00129973447404069,-0.0012,-0.000399999999999956
1000,0.5,"nonexact","GMM","Authors",0.0801249024960405,0.0542,0.00780000000000003,"Replication",0.0846167832052247,0.0544,0.012,0.0044918807091842,0.000199999999999999,0.00419999999999998
1000,0.75,"exact","oracle-GMM","Authors",0.0828433066904717,0.0676326559874507,0.0212897501960816,"Replication",0.0824432614706704,0.0673387789850978,0.0174897501960816,-0.000400045219801248,-0.000293877002352977,-0.00380000000000003
