"alpha","WN","method"
-1,68.3485380031747,"oracle-GMM"
-0.9,65.6102371632463,"oracle-GMM"
-0.8,58.5798184847428,"oracle-GMM"
-0.7,60.3531203200016,"oracle-GMM"
-0.6,54.5842073220697,"oracle-GMM"
-0.5,56.6479980333784,"oracle-GMM"
-0.4,51.7571342294782,"oracle-GMM"
-0.3,51.3876150133589,"oracle-GMM"
-0.2,50.6574995557773,"oracle-GMM"
-0.1,46.638877008777,"oracle-GMM"
0,43.2283110406738,"oracle-GMM"
0.1,40.8484657911053,"oracle-GMM"
0.2,36.4261235650731,"oracle-GMM"
0.3,35.748724498826,"oracle-GMM"
0.4,37.6185747261203,"oracle-GMM"
0.5,36.3864671671734,"oracle-GMM"
0.6,28.5957471665064,"oracle-GMM"
0.7,25.9237759037647,"oracle-GMM"
0.8,25.6549878902335,"oracle-GMM"
0.9,22.2077390761835,"oracle-GMM"
1,19.0686686148738,"oracle-GMM"
1.1,18.5048397425951,"oracle-GMM"
1.2,11.556529628578,"oracle-GMM"
1.3,10.451689371153,"oracle-GMM"
1.4,6.62858722910902,"oracle-GMM"
1.5,4.9379017927973,"oracle-GMM"
1.6,6.94748182034091,"oracle-GMM"
1.7,16.5274992403105,"oracle-GMM"
1.8,29.8571018352235,"oracle-GMM"
1.9,52.2385580616885,"oracle-GMM"
2,71.2952167298343,"oracle-GMM"
2.1,98.0219498745807,"oracle-GMM"
2.2,113.975793271835,"oracle-GMM"
2.3,116.676845857679,"oracle-GMM"
2.4,122.969328495558,"oracle-GMM"
2.5,133.364666657465,"oracle-GMM"
2.6,136.202690087,"oracle-GMM"
2.7,135.252752908662,"oracle-GMM"
2.8,143.752042387613,"oracle-GMM"
2.9,139.715154611318,"oracle-GMM"
3,141.138163844131,"oracle-GMM"
-1,82.6524976883278,"full-GMM"
-0.9,59.9970270316451,"full-GMM"
-0.8,66.9577152244619,"full-GMM"
-0.7,66.1563767071611,"full-GMM"
-0.6,57.6630412269237,"full-GMM"
-0.5,62.2617288955565,"full-GMM"
-0.4,46.8370955159977,"full-GMM"
-0.3,48.4842170648751,"full-GMM"
-0.2,37.602659955174,"full-GMM"
-0.1,46.2575246596561,"full-GMM"
0,36.8372201067035,"full-GMM"
0.1,34.5557357010012,"full-GMM"
0.2,26.8068115219845,"full-GMM"
0.3,30.8229657782002,"full-GMM"
0.4,33.6918497815697,"full-GMM"
0.5,24.8967701149199,"full-GMM"
0.6,16.0149408607484,"full-GMM"
0.7,18.9869585215416,"full-GMM"
0.8,17.7401571301618,"full-GMM"
0.9,13.418461017319,"full-GMM"
1,9.52621849986211,"full-GMM"
1.1,3.76350191972807,"full-GMM"
1.2,0.819515404673097,"full-GMM"
1.3,2.77271209315422,"full-GMM"
1.4,5.62102988476136,"full-GMM"
1.5,1.89959131641366,"full-GMM"
1.6,6.74417678279811,"full-GMM"
1.7,24.9726168865657,"full-GMM"
1.8,24.390545684406,"full-GMM"
1.9,35.8629015462473,"full-GMM"
2,48.9122673495509,"full-GMM"
2.1,78.4564976399845,"full-GMM"
2.2,62.621051042783,"full-GMM"
2.3,100.994370712913,"full-GMM"
2.4,80.3712966325702,"full-GMM"
2.5,93.6323223037536,"full-GMM"
2.6,98.5071024199803,"full-GMM"
2.7,119.749458858953,"full-GMM"
2.8,121.933311389365,"full-GMM"
2.9,100.440995867523,"full-GMM"
3,122.432939365377,"full-GMM"
-1,55.0115015982017,"DML-IVQR"
-0.9,56.7696357124931,"DML-IVQR"
-0.8,51.0198296642804,"DML-IVQR"
-0.7,54.7692235562621,"DML-IVQR"
-0.6,47.8836121161671,"DML-IVQR"
-0.5,47.9685525622994,"DML-IVQR"
-0.4,46.106148746636,"DML-IVQR"
-0.3,43.1040881365292,"DML-IVQR"
-0.2,38.8069696585073,"DML-IVQR"
-0.1,38.439280783079,"DML-IVQR"
0,34.8029298572014,"DML-IVQR"
0.1,31.4515948710563,"DML-IVQR"
0.2,35.2647770864914,"DML-IVQR"
0.3,30.0475164286436,"DML-IVQR"
0.4,29.6199848242855,"DML-IVQR"
0.5,31.1625634375396,"DML-IVQR"
0.6,28.3894125896463,"DML-IVQR"
0.7,24.7058062920095,"DML-IVQR"
0.8,20.8972196301082,"DML-IVQR"
0.9,20.3558354327539,"DML-IVQR"
1,14.1557161079083,"DML-IVQR"
1.1,14.5624797374119,"DML-IVQR"
1.2,11.0045678525095,"DML-IVQR"
1.3,7.29082695814562,"DML-IVQR"
1.4,5.87599813133894,"DML-IVQR"
1.5,6.11632437336549,"DML-IVQR"
1.6,10.8529572173247,"DML-IVQR"
1.7,22.3963807238819,"DML-IVQR"
1.8,31.6727749850009,"DML-IVQR"
1.9,49.8542116604236,"DML-IVQR"
2,61.0434271664569,"DML-IVQR"
2.1,66.3522212284979,"DML-IVQR"
2.2,83.7870020406256,"DML-IVQR"
2.3,89.3760004108162,"DML-IVQR"
2.4,95.7272725129116,"DML-IVQR"
2.5,97.2571224435205,"DML-IVQR"
2.6,112.983421863909,"DML-IVQR"
2.7,112.861061386709,"DML-IVQR"
2.8,125.503701315566,"DML-IVQR"
2.9,126.635243940551,"DML-IVQR"
3,127.521634009868,"DML-IVQR"
