"source","sample_size","tau","estimator_code","estimator","RMSE","MAE","BIAS"
"Replication",500,0.1,"exact","oracle-GMM",0.200143812078398,0.158010976120413,-0.109551565544601
"Replication",500,0.1,"nonexact","GMM",0.414331626295514,0.247286850876845,-0.176951565544601
"Replication",500,0.1,"fullgmm","full-GMM",0.764271971870038,0.668027440301033,-0.659351565544601
"Replication",500,0.1,"hdm","DML-IVQR",0.308605197648161,0.242626114278047,-0.212551565544601
"Replication",500,0.25,"exact","oracle-GMM",0.116297259943275,0.0939346880250985,-0.0388897501960817
"Replication",500,0.25,"nonexact","GMM",0.169335289796749,0.115665303013334,-0.0394897501960817
"Replication",500,0.25,"fullgmm","full-GMM",0.292747952404555,0.245779563123139,-0.209089750196082
"Replication",500,0.25,"hdm","DML-IVQR",0.161255745293484,0.129399982076864,-0.0894897501960817
"Replication",500,0.5,"exact","oracle-GMM",0.102761860629321,0.0728,0
"Replication",500,0.5,"nonexact","GMM",0.147173367155882,0.1026,0.0206
"Replication",500,0.5,"fullgmm","full-GMM",0.173723918905832,0.1318,0.00539999999999996
"Replication",500,0.5,"hdm","DML-IVQR",0.119582607431014,0.087,-0.0202
"Replication",500,0.75,"exact","oracle-GMM",0.133450869868821,0.104673467010196,0.0348897501960816
"Replication",500,0.75,"nonexact","GMM",0.234355708473922,0.159885704043922,0.100089750196082
"Replication",500,0.75,"fullgmm","full-GMM",0.33116512700636,0.266787727120002,0.229689750196082
"Replication",500,0.75,"hdm","DML-IVQR",0.14836026242939,0.116,0.0332897501960816
"Replication",500,0.9,"exact","oracle-GMM",0.273136735493212,0.196572375730704,0.132151565544601
"Replication",500,0.9,"nonexact","GMM",0.879038720621546,0.551321289229333,0.514151565544601
"Replication",500,0.9,"fullgmm","full-GMM",0.901408113032217,0.764575027776676,0.742151565544601
"Replication",500,0.9,"hdm","DML-IVQR",0.374743768157347,0.262051657528732,0.213751565544601
"Replication",1000,0.1,"exact","oracle-GMM",0.119258530347619,0.0934268692736713,-0.0557515655446008
"Replication",1000,0.1,"nonexact","GMM",0.167930317517791,0.118648250487136,-0.0731515655446008
"Replication",1000,0.1,"fullgmm","full-GMM",0.37832830474747,0.331060552630535,-0.320551565544601
"Replication",1000,0.1,"hdm","DML-IVQR",0.137910907581751,0.109255819565953,-0.0753515655446008
"Replication",1000,0.25,"exact","oracle-GMM",0.0782418613267997,0.0642204099921568,-0.0224897501960817
"Replication",1000,0.25,"nonexact","GMM",0.0885861369610733,0.0699632709756859,-0.0168897501960817
"Replication",1000,0.25,"fullgmm","full-GMM",0.165421371042347,0.133632629102747,-0.108289750196082
"Replication",1000,0.25,"hdm","DML-IVQR",0.0920434200336457,0.0741346880250985,-0.0418897501960817
"Replication",1000,0.5,"exact","oracle-GMM",0.0660302960768767,0.0404,-0.002
"Replication",1000,0.5,"nonexact","GMM",0.0846167832052247,0.0544,0.012
"Replication",1000,0.5,"fullgmm","full-GMM",0.10373041983912,0.0748,0.000399999999999956
"Replication",1000,0.5,"hdm","DML-IVQR",0.0762889244910426,0.0498,-0.0145999999999999
"Replication",1000,0.75,"exact","oracle-GMM",0.0824432614706704,0.0673387789850978,0.0174897501960816
"Replication",1000,0.75,"nonexact","GMM",0.111275312946815,0.0860448930211768,0.0416897501960816
"Replication",1000,0.75,"fullgmm","full-GMM",0.172946093343744,0.14381221911059,0.121889750196082
"Replication",1000,0.75,"hdm","DML-IVQR",0.0897942841355259,0.072118368992941,0.0212897501960816
"Replication",1000,0.9,"exact","oracle-GMM",0.131345720722376,0.101617219176244,0.062551565544601
"Replication",1000,0.9,"nonexact","GMM",0.301679571642474,0.190094419955662,0.160151565544601
"Replication",1000,0.9,"fullgmm","full-GMM",0.438614452200154,0.373281933844,0.362551565544601
"Replication",1000,0.9,"hdm","DML-IVQR",0.161436565415738,0.120448250487136,0.0709515655446009
