"sample_size","tau","penalty","RMSE","MAE","BIAS"
500,0.25,"Belloni and Chernozhukov",0.148997180003975,0.118248992942744,0.0151102498039183
500,0.25,"5-fold Cross-Validation",0.165129965749502,0.12993467906353,-0.0850897501960817
500,0.5,"Belloni and Chernozhukov",0.139283882771841,0.11,0.0688
500,0.5,"5-fold Cross-Validation",0.118152443901935,0.0876,-0.0224
500,0.75,"Belloni and Chernozhukov",0.184736279349251,0.150183645121571,0.134489750196082
500,0.75,"5-fold Cross-Validation",0.151534163062651,0.118016319032157,0.0510897501960816
1000,0.25,"Belloni and Chernozhukov",0.0901889091848892,0.0725102318807823,0.0385102498039183
1000,0.25,"5-fold Cross-Validation",0.0960705005518058,0.0792326380643148,-0.0540897501960817
1000,0.5,"Belloni and Chernozhukov",0.0920869154657707,0.0668,0.0559999999999999
1000,0.5,"5-fold Cross-Validation",0.0726636084983398,0.0476,-0.0164
1000,0.75,"Belloni and Chernozhukov",0.126385166827752,0.108138743138826,0.0994897501960816
1000,0.75,"5-fold Cross-Validation",0.0871039296799295,0.0702938770023529,0.0270897501960816
