"Model","n=500 RMSE","n=500 MAE","n=500 BIAS","n=1000 RMSE","n=1000 MAE","n=1000 BIAS"
"alpha0.10 (res-GMM)","0.1888","0.1510","-0.0894","0.1219","0.0950","-0.0552"
"alpha0.10 (GMM)","0.4963","0.2559","-0.1776","0.1632","0.1138","-0.0628"
"alpha0.25 (res-GMM)","0.1211","0.0967","-0.0335","0.0812","0.0654","-0.0257"
"alpha0.25 (GMM)","0.1783","0.1179","-0.0255","0.0964","0.0754","-0.0235"
"alpha0.50 (res-GMM)","0.0990","0.0716","0.0092","0.0690","0.0436","-0.0020"
"alpha0.50 (GMM)","0.1437","0.1016","0.0340","0.0801","0.0542","0.0078"
"alpha0.75 (res-GMM)","0.1374","0.1066","0.0553","0.0828","0.0676","0.0213"
"alpha0.75 (GMM)","0.2403","0.1710","0.1295","0.1147","0.0849","0.0443"
"alpha0.90 (res-GMM)","0.2438","0.1839","0.1226","0.1391","0.1067","0.0668"
"alpha0.90 (GMM)","0.8483","0.5341","0.4960","0.3481","0.1967","0.1614"
