"Model","n=500 RMSE","n=500 MAE","n=500 BIAS","n=1000 RMSE","n=1000 MAE","n=1000 BIAS"
"alpha0.10 (res-GMM)","0.2001","0.1580","-0.1096","0.1193","0.0934","-0.0558"
"alpha0.10 (GMM)","0.4143","0.2473","-0.1770","0.1679","0.1186","-0.0732"
"alpha0.25 (res-GMM)","0.1163","0.0939","-0.0389","0.0782","0.0642","-0.0225"
"alpha0.25 (GMM)","0.1693","0.1157","-0.0395","0.0886","0.0700","-0.0169"
"alpha0.50 (res-GMM)","0.1028","0.0728","0.0000","0.0660","0.0404","-0.0020"
"alpha0.50 (GMM)","0.1472","0.1026","0.0206","0.0846","0.0544","0.0120"
"alpha0.75 (res-GMM)","0.1335","0.1047","0.0349","0.0824","0.0673","0.0175"
"alpha0.75 (GMM)","0.2344","0.1599","0.1001","0.1113","0.0860","0.0417"
"alpha0.90 (res-GMM)","0.2731","0.1966","0.1322","0.1313","0.1016","0.0626"
"alpha0.90 (GMM)","0.8790","0.5513","0.5142","0.3017","0.1901","0.1602"
