"Sample","Model","RMSE (ratio)","MAE (ratio)","BIAS"
"n = 500","alpha0.10 (full-GMM)","0.7648 (4.05)","0.6646 (4.40)","-0.6534"
"n = 500","alpha0.10 (oracle-GMM)","0.1888 (1.00)","0.1510 (1.00)","-0.0894"
"n = 500","alpha0.10 (DML-IVQR)","0.3113 (1.65)","0.2389 (1.58)","-0.2040"
"n = 500","alpha0.25 (full-GMM)","0.2712 (2.24)","0.2213 (2.29)","-0.1877"
"n = 500","alpha0.25 (oracle-GMM)","0.1211 (1.00)","0.0967 (1.00)","-0.0335"
"n = 500","alpha0.25 (DML-IVQR)","0.1562 (1.29)","0.1254 (1.30)","-0.0797"
"n = 500","alpha0.50 (full-GMM)","0.1628 (1.64)","0.1234 (1.72)","0.0190"
"n = 500","alpha0.50 (oracle-GMM)","0.0990 (1.00)","0.0716 (1.00)","0.0092"
"n = 500","alpha0.50 (DML-IVQR)","0.1169 (1.18)","0.0846 (1.18)","-0.0186"
"n = 500","alpha0.75 (full-GMM)","0.3422 (2.49)","0.2806 (2.63)","0.2503"
"n = 500","alpha0.75 (oracle-GMM)","0.1374 (1.00)","0.1066 (1.00)","0.0553"
"n = 500","alpha0.75 (DML-IVQR)","0.1495 (1.09)","0.1167 (1.09)","0.0517"
"n = 500","alpha0.90 (full-GMM)","0.9449 (3.88)","0.8032 (4.37)","0.7892"
"n = 500","alpha0.90 (oracle-GMM)","0.2438 (1.00)","0.1839 (1.00)","0.1226"
"n = 500","alpha0.90 (DML-IVQR)","0.3568 (1.46)","0.2609 (1.42)","0.2012"
"n = 1000","alpha0.10 (full-GMM)","0.3918 (3.21)","0.3442 (3.62)","-0.3304"
"n = 1000","alpha0.10 (oracle-GMM)","0.1219 (1.00)","0.0950 (1.00)","-0.0552"
"n = 1000","alpha0.10 (DML-IVQR)","0.1376 (1.13)","0.1085 (1.14)","-0.0760"
"n = 1000","alpha0.25 (full-GMM)","0.1646 (2.03)","0.1361 (2.08)","-0.1135"
"n = 1000","alpha0.25 (oracle-GMM)","0.0812 (1.00)","0.0654 (1.00)","-0.0257"
"n = 1000","alpha0.25 (DML-IVQR)","0.0992 (1.22)","0.0804 (1.23)","-0.0437"
"n = 1000","alpha0.50 (full-GMM)","0.1038 (1.50)","0.0754 (1.73)","-0.0002"
"n = 1000","alpha0.50 (oracle-GMM)","0.0690 (1.00)","0.0436 (1.00)","-0.0020"
"n = 1000","alpha0.50 (DML-IVQR)","0.0776 (1.12)","0.0510 (1.17)","-0.0142"
"n = 1000","alpha0.75 (full-GMM)","0.1747 (2.11)","0.1452 (2.15)","0.1175"
"n = 1000","alpha0.75 (oracle-GMM)","0.0828 (1.00)","0.0676 (1.00)","0.0213"
"n = 1000","alpha0.75 (DML-IVQR)","0.0930 (1.12)","0.0741 (1.10)","0.0227"
"n = 1000","alpha0.90 (full-GMM)","0.4320 (3.11)","0.3682 (3.45)","0.3496"
"n = 1000","alpha0.90 (oracle-GMM)","0.1391 (1.00)","0.1067 (1.00)","0.0668"
"n = 1000","alpha0.90 (DML-IVQR)","0.1649 (1.19)","0.1232 (1.15)","0.0732"
