"Sample","Model","RMSE (ratio)","MAE (ratio)","BIAS"
"n = 500","alpha0.10 (full-GMM)","0.7643 (3.82)","0.6680 (4.23)","-0.6594"
"n = 500","alpha0.10 (oracle-GMM)","0.2001 (1.00)","0.1580 (1.00)","-0.1096"
"n = 500","alpha0.10 (DML-IVQR)","0.3086 (1.54)","0.2426 (1.54)","-0.2126"
"n = 500","alpha0.25 (full-GMM)","0.2927 (2.52)","0.2458 (2.62)","-0.2091"
"n = 500","alpha0.25 (oracle-GMM)","0.1163 (1.00)","0.0939 (1.00)","-0.0389"
"n = 500","alpha0.25 (DML-IVQR)","0.1613 (1.39)","0.1294 (1.38)","-0.0895"
"n = 500","alpha0.50 (full-GMM)","0.1737 (1.69)","0.1318 (1.81)","0.0054"
"n = 500","alpha0.50 (oracle-GMM)","0.1028 (1.00)","0.0728 (1.00)","0.0000"
"n = 500","alpha0.50 (DML-IVQR)","0.1196 (1.16)","0.0870 (1.20)","-0.0202"
"n = 500","alpha0.75 (full-GMM)","0.3312 (2.48)","0.2668 (2.55)","0.2297"
"n = 500","alpha0.75 (oracle-GMM)","0.1335 (1.00)","0.1047 (1.00)","0.0349"
"n = 500","alpha0.75 (DML-IVQR)","0.1484 (1.11)","0.1160 (1.11)","0.0333"
"n = 500","alpha0.90 (full-GMM)","0.9014 (3.30)","0.7646 (3.89)","0.7422"
"n = 500","alpha0.90 (oracle-GMM)","0.2731 (1.00)","0.1966 (1.00)","0.1322"
"n = 500","alpha0.90 (DML-IVQR)","0.3747 (1.37)","0.2621 (1.33)","0.2138"
"n = 1000","alpha0.10 (full-GMM)","0.3783 (3.17)","0.3311 (3.54)","-0.3206"
"n = 1000","alpha0.10 (oracle-GMM)","0.1193 (1.00)","0.0934 (1.00)","-0.0558"
"n = 1000","alpha0.10 (DML-IVQR)","0.1379 (1.16)","0.1093 (1.17)","-0.0754"
"n = 1000","alpha0.25 (full-GMM)","0.1654 (2.11)","0.1336 (2.08)","-0.1083"
"n = 1000","alpha0.25 (oracle-GMM)","0.0782 (1.00)","0.0642 (1.00)","-0.0225"
"n = 1000","alpha0.25 (DML-IVQR)","0.0920 (1.18)","0.0741 (1.15)","-0.0419"
"n = 1000","alpha0.50 (full-GMM)","0.1037 (1.57)","0.0748 (1.85)","0.0004"
"n = 1000","alpha0.50 (oracle-GMM)","0.0660 (1.00)","0.0404 (1.00)","-0.0020"
"n = 1000","alpha0.50 (DML-IVQR)","0.0763 (1.16)","0.0498 (1.23)","-0.0146"
"n = 1000","alpha0.75 (full-GMM)","0.1729 (2.10)","0.1438 (2.14)","0.1219"
"n = 1000","alpha0.75 (oracle-GMM)","0.0824 (1.00)","0.0673 (1.00)","0.0175"
"n = 1000","alpha0.75 (DML-IVQR)","0.0898 (1.09)","0.0721 (1.07)","0.0213"
"n = 1000","alpha0.90 (full-GMM)","0.4386 (3.34)","0.3733 (3.67)","0.3626"
"n = 1000","alpha0.90 (oracle-GMM)","0.1313 (1.00)","0.1016 (1.00)","0.0626"
"n = 1000","alpha0.90 (DML-IVQR)","0.1614 (1.23)","0.1204 (1.19)","0.0710"
