"item","rmse","mae"
"exact10","0.119258530347619","0.0934268692736713"
"exact25","0.0782418613267997","0.0642204099921568"
"exact50","0.0660302960768767","0.0404"
"exact75","0.0824432614706705","0.0673387789850979"
"exact90","0.131345720722376","0.101617219176244"
"nonexact10","0.167930317517791","0.118648250487136"
"nonexact25","0.0885861369610733","0.0699632709756859"
"nonexact50","0.0846167832052247","0.0544"
"nonexact75","0.111275312946815","0.0860448930211768"
"nonexact90","0.301679571642474","0.190094419955662"
"fullgmm10","0.37832830474747","0.331060552630535"
"fullgmm25","0.165421371042347","0.133632629102747"
"fullgmm50","0.10373041983912","0.0748"
"fullgmm75","0.172946093343744","0.14381221911059"
"fullgmm90","0.438614452200154","0.373281933844"
"hdm10","0.137910907581751","0.109255819565953"
"hdm25","0.0920434200336457","0.0741346880250985"
"hdm50","0.0762889244910426","0.0498"
"hdm75","0.0897942841355259","0.0721183689929411"
"hdm90","0.161436565415738","0.120448250487136"
