"replication","tau","estimator","accepted_measure_005","accepted_measure_0025","measure_diff_005_0025","measure_absdiff_005_0025","accepted_measure_010","measure_diff_010_0025","measure_absdiff_010_0025","component_diff_005_0025","component_diff_010_0025","n_components_0025","components_missed_by_005","components_missed_by_010","any_accepted_changed_005","all_accepted_changed_005","left_endpoint_changed_005","right_endpoint_changed_005","any_accepted_changed_010","all_accepted_changed_010","left_endpoint_changed_010","right_endpoint_changed_010","comparison_status"
1,0.1,"DML-IVQR",3.95,3.975,-0.0249999999999999,0.0249999999999999,4,0.0249999999999999,0.0249999999999999,0,-1,2,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"complete"
1,0.1,"Full-GMM",3.85,3.775,0.0749999999999997,0.0749999999999997,3.9,0.125,0.125,-2,-4,6,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
1,0.1,"Oracle-GMM",4,4,0,0,4,0,0,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
1,0.5,"DML-IVQR",3.025,2.9875,0.0375000000000001,0.0375000000000001,2.95,-0.0375000000000001,0.0375000000000001,0,-1,2,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
1,0.5,"Full-GMM",2.875,2.7375,0.1375,0.1375,2.75,0.0124999999999997,0.0124999999999997,-4,-6,10,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
1,0.5,"Oracle-GMM",3.55,3.65,-0.1,0.1,3.6,-0.0500000000000003,0.0500000000000003,0,-4,8,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
1,0.9,"DML-IVQR",1.175,1.1375,0.0375000000000001,0.0375000000000001,1.15,0.0125000000000002,0.0125000000000002,-2,-2,4,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
1,0.9,"Full-GMM",3.525,3.5375,-0.0124999999999997,0.0124999999999997,3.35,-0.1875,0.1875,-8,-10,15,3,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
1,0.9,"Oracle-GMM",2.325,2.3125,0.0125000000000002,0.0125000000000002,2.05,-0.2625,0.2625,-9,-12,19,4,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
2,0.1,"DML-IVQR",3.95,3.975,-0.0249999999999999,0.0249999999999999,3.9,-0.0749999999999997,0.0749999999999997,0,0,2,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
2,0.1,"Full-GMM",3.95,3.925,0.0249999999999999,0.0249999999999999,4,0.0749999999999997,0.0749999999999997,-1,-2,3,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"complete"
2,0.1,"Oracle-GMM",4,4,0,0,4,0,0,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
2,0.5,"DML-IVQR",4,4,0,0,4,0,0,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
2,0.5,"Full-GMM",3.6,3.5,0.1,0.1,3.7,0.2,0.2,-8,-12,15,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
2,0.5,"Oracle-GMM",4,4,0,0,4,0,0,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
2,0.9,"DML-IVQR",4,4,0,0,4,0,0,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
2,0.9,"Full-GMM",3.75,3.675,0.0749999999999997,0.0749999999999997,3.7,0.0249999999999999,0.0249999999999999,-8,-9,13,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
2,0.9,"Oracle-GMM",4,4,0,0,4,0,0,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
3,0.1,"DML-IVQR",3.15,3.2,-0.0499999999999998,0.0499999999999998,3.1,-0.1,0.1,-6,-8,12,4,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
3,0.1,"Full-GMM",3.95,3.925,0.0249999999999999,0.0249999999999999,3.9,-0.0249999999999999,0.0249999999999999,-2,-2,4,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
3,0.1,"Oracle-GMM",3.2,3.225,-0.0249999999999999,0.0249999999999999,3.2,-0.0249999999999999,0.0249999999999999,-4,-7,10,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
3,0.5,"DML-IVQR",3.8,3.8,0,0,3.9,0.1,0.1,-1,-2,4,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
3,0.5,"Full-GMM",3.6,3.475,0.125,0.125,3.5,0.0249999999999999,0.0249999999999999,-7,-8,13,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
3,0.5,"Oracle-GMM",4,4,0,0,4,0,0,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
3,0.9,"DML-IVQR",4,4,0,0,4,0,0,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
3,0.9,"Full-GMM",3.95,3.95,0,0,3.9,-0.0499999999999998,0.0499999999999998,-1,-1,3,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
3,0.9,"Oracle-GMM",3.95,3.975,-0.0249999999999999,0.0249999999999999,3.9,-0.0749999999999997,0.0749999999999997,0,0,2,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
4,0.1,"DML-IVQR",3.425,3.4375,-0.0124999999999997,0.0124999999999997,3.45,0.0125000000000002,0.0125000000000002,0,-1,3,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
4,0.1,"Full-GMM",3.825,3.8125,0.0125000000000002,0.0125000000000002,3.75,-0.0625,0.0625,-3,-4,6,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
