"replication","n","kappa","tau","estimator","alpha","W","critical_value","accepted","status"
1,500,0.1,0.1,"Oracle-GMM",-1,0.337696575405052,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.975,0.0658122990517228,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.95,0.414086375828003,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.925,0.238342123473881,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.9,0.838642466048077,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.875,0.614324430934945,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.85,0.315275860667983,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.825,0.49309720597647,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.8,0.0602144698414019,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.775,0.505916407003242,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.75,0.131887498945668,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.725,0.0536686682403319,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.7,3.01769691033276,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.675,0.672971242352642,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.65,1.30763267000427,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.625,0.038641700297934,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.6,1.35437954140206,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.575,0.0149697334204727,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.55,0.094952540998735,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.525,1.08730096549447,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.5,1.83849237484829,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.475,0.513598619716884,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.45,0.0765985958405529,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.425,0.122468192169083,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.4,0.148635012990539,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.375,2.2954261571266,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.35,0.917188742438133,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.325,1.00478892144442,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.3,1.83961193576779,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.275,0.797876215470983,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.25,2.05570032635254,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.225,0.669319079116125,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.2,0.763326698935311,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.175,1.14719650304504,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.15,0.236073254488808,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.125,0.556886558267461,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.1,1.00911039341573,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.075,0.484002734853288,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.0499999999999999,1.50084445487613,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.0249999999999999,0.639282160662412,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0,0.60864341197421,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.0250000000000001,1.05119836937938,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.05,1.18930094549988,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.075,0.963994382029234,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.1,2.61365416269517,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.125,1.44988700050595,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.15,1.59166372501451,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.175,2.20147687599035,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.2,0.695135199160652,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.225,0.39797524348242,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.25,0.956941788305891,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.275,0.508967198364383,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.3,0.514808285659045,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.325,1.11121068699561,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.35,1.26845198657571,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.375,0.884043992401401,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.4,0.814471123878718,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.425,0.872264574768139,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.45,1.34932629502303,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.475,1.55244229527387,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.5,2.46449913054215,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.525,1.81048444721889,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.55,1.92353698394835,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.575,2.06760346894426,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.6,2.77689689125276,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.625,3.95411487412651,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.65,3.08240467649723,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.675,0.450827787238744,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.7,1.4312878487596,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.725,1.41069271680383,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.75,3.51411025246667,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.775,0.828520903091216,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.8,1.09668377991159,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.825,1.02377990757507,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.85,1.41747152533757,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.875,0.225223229893737,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.9,1.8981607862867,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.925,3.99394605030252,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.95,2.27498272451662,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.975,1.4136934838366,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1,2.01869159608906,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.025,2.01057798247071,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.05,2.0032311777463,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.075,2.45405088918841,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.1,0.198663160677195,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.125,0.659739947604833,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.15,1.66133206600484,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.175,2.87129686872636,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.2,0.31200665787607,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.225,0.734064600135324,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.25,1.3890329473249,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.275,1.23080269626876,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.3,2.755126160367,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.325,1.56384008675621,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.35,1.49415738606063,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.375,2.69482436564338,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.4,2.28610394088575,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.425,4.02091832775018,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.45,2.17297313109126,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.475,2.20541228092614,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.5,2.29036363235926,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.525,4.02120763400716,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.55,3.80376089823839,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.575,3.01591853956823,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.6,2.68312175287234,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.625,3.00926530403626,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.65,2.30165752735615,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.675,1.97539050369408,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.7,1.03994916603074,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.725,0.802298708435571,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.75,0.995510513167028,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.775,1.05940070281815,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.8,0.729639780011245,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.825,1.706209466845,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.85,1.80341187015218,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.875,0.709663125315883,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.9,1.02404643228126,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.925,1.60964719993975,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.95,0.917563993521512,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.975,0.878486510854905,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2,1.20269434544754,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.025,0.828797850201507,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.05,0.679573088788649,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.075,0.631206995102147,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.1,0.722241412931245,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.125,2.36521792358644,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.15,1.0331866706053,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.175,1.62278189742654,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.2,0.351365038376636,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.225,1.32911136328133,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.25,0.352581410516229,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.275,0.984589224640506,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.3,5.14038137180162,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.325,0.453945750915867,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.35,2.42580649355079,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.375,1.77238815142809,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.4,2.78457645519718,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.425,1.31743260861544,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.45,3.45886287266517,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.475,2.7618171022151,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.5,3.12259963068778,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.525,4.05992692084304,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.55,1.33973549107988,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.575,1.06272728209181,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.6,0.536606334429546,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.625,0.640639477941867,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.65,0.549031347791076,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.675,0.726529878376009,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.7,0.728574715207189,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.725,0.624927879906531,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.75,2.95232415725423,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.775,0.732481747004884,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.8,0.967313638611364,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.825,1.27670634035687,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.85,1.0025343474291,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.875,1.61935325431268,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.9,2.13783781267014,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.925,1.54249040862822,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.95,1.78366131149177,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.975,1.56859645676389,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",3,0.748261337908659,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",-1,3.14026268620017,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.975,1.61216656706985,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.95,10.0965842565673,5.99146454710798,FALSE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.925,15.4550967489822,5.99146454710798,FALSE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.9,3.85386988442622,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.875,5.87157813629408,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.85,7.6399047821814,5.99146454710798,FALSE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.825,7.05224194641281,5.99146454710798,FALSE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.8,1.09863626221255,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.775,5.16762634310972,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.75,2.44178041846547,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.725,1.64779459964919,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.7,4.84251802460632,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.675,4.86407169613438,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.65,5.09305823655496,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.625,0.42777330841585,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.6,4.75624171148431,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.575,1.72267978754518,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.55,0.42080997440813,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.525,0.00503306966738437,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.5,1.93899193067206,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.475,3.37352388461177,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.45,1.2319864640025,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.425,0.973137501027295,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.4,0.800437422048949,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.375,0.405269176165191,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.35,1.62218593649295,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.325,2.53507213935087,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.3,1.32674173167889,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.275,4.55187337240451,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.25,2.76463904463449,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.225,2.32876418436644,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.2,3.08898927829869,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.175,1.06965096311325,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.15,4.69942092121403,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.125,8.09152586306788,5.99146454710798,FALSE,"OK"
