"replication","tau","estimator","h","n_gridpoints","n_success","n_failure","n_accepted","any_accepted","all_accepted","left_boundary_accepted","right_boundary_accepted","n_accepted_components_grid","minimum_accepted_alpha","maximum_accepted_alpha","alpha_hat_grid","min_W","accepted_measure_h","accepted_measure_status"
1,0.1,"DML-IVQR",0.1,41,41,0,41,TRUE,TRUE,TRUE,TRUE,1,-1,3,2.1,0.00171703952997747,4,"none"
1,0.1,"DML-IVQR",0.05,81,81,0,80,TRUE,FALSE,TRUE,TRUE,2,-1,3,2.1,0.00171703952997747,3.95,"none"
1,0.1,"DML-IVQR",0.025,161,161,0,160,TRUE,FALSE,TRUE,TRUE,2,-1,3,2.175,0.000985723231424487,3.975,"none"
1,0.1,"Full-GMM",0.1,41,41,0,40,TRUE,FALSE,TRUE,TRUE,2,-1,3,2.5,0.0602199633335582,3.9,"none"
1,0.1,"Full-GMM",0.05,81,81,0,78,TRUE,FALSE,TRUE,TRUE,4,-1,3,2.95,0.0467159169824722,3.85,"none"
1,0.1,"Full-GMM",0.025,161,161,0,152,TRUE,FALSE,TRUE,TRUE,6,-1,3,-0.525,0.00503306966738437,3.775,"none"
1,0.1,"Oracle-GMM",0.1,41,41,0,41,TRUE,TRUE,TRUE,TRUE,1,-1,3,-0.8,0.0602144698414019,4,"none"
1,0.1,"Oracle-GMM",0.05,81,81,0,81,TRUE,TRUE,TRUE,TRUE,1,-1,3,-0.8,0.0602144698414019,4,"none"
1,0.1,"Oracle-GMM",0.025,161,161,0,161,TRUE,TRUE,TRUE,TRUE,1,-1,3,-0.575,0.0149697334204727,4,"none"
1,0.5,"DML-IVQR",0.1,41,41,0,30,TRUE,FALSE,FALSE,TRUE,1,0.1,3,1.8,0.000830224415283301,2.95,"none"
1,0.5,"DML-IVQR",0.05,81,81,0,61,TRUE,FALSE,FALSE,TRUE,2,-0.0499999999999999,3,1.8,0.000830224415283301,3.025,"none"
1,0.5,"DML-IVQR",0.025,161,161,0,120,TRUE,FALSE,FALSE,TRUE,2,-0.0499999999999999,3,1.8,0.000830224415283301,2.9875,"none"
1,0.5,"Full-GMM",0.1,41,41,0,28,TRUE,FALSE,FALSE,TRUE,4,-0.5,3,2.1,0.13605491792863,2.75,"none"
1,0.5,"Full-GMM",0.05,81,81,0,58,TRUE,FALSE,FALSE,TRUE,6,-0.85,3,2.1,0.13605491792863,2.875,"none"
1,0.5,"Full-GMM",0.025,161,161,0,110,TRUE,FALSE,FALSE,TRUE,10,-0.85,3,1.525,0.0155172892819256,2.7375,"none"
1,0.5,"Oracle-GMM",0.1,41,41,0,37,TRUE,FALSE,TRUE,TRUE,4,-1,3,1.4,0.242233799645487,3.6,"none"
1,0.5,"Oracle-GMM",0.05,81,81,0,72,TRUE,FALSE,TRUE,TRUE,8,-1,3,0.75,0.159213523906459,3.55,"none"
1,0.5,"Oracle-GMM",0.025,161,161,0,147,TRUE,FALSE,TRUE,TRUE,8,-1,3,0.75,0.159213523906459,3.65,"none"
1,0.9,"DML-IVQR",0.1,41,41,0,12,TRUE,FALSE,FALSE,TRUE,2,1.8,3,2.7,0.0309839647613274,1.15,"none"
1,0.9,"DML-IVQR",0.05,81,81,0,24,TRUE,FALSE,FALSE,TRUE,2,1.8,3,2.7,0.0309839647613274,1.175,"none"
1,0.9,"DML-IVQR",0.025,161,161,0,46,TRUE,FALSE,FALSE,TRUE,4,1.8,3,2.625,0.01912834249347,1.1375,"none"
1,0.9,"Full-GMM",0.1,41,41,0,34,TRUE,FALSE,TRUE,FALSE,5,-1,2.9,0.6,0.117208414820273,3.35,"none"
1,0.9,"Full-GMM",0.05,81,81,0,71,TRUE,FALSE,TRUE,FALSE,7,-1,2.95,2.85,0.0291484264693909,3.525,"none"
1,0.9,"Full-GMM",0.025,161,161,0,142,TRUE,FALSE,TRUE,FALSE,15,-1,2.975,2.85,0.0291484264693909,3.5375,"none"
1,0.9,"Oracle-GMM",0.1,41,41,0,21,TRUE,FALSE,FALSE,TRUE,7,-0.4,3,2.5,0.0110103062263853,2.05,"none"
1,0.9,"Oracle-GMM",0.05,81,81,0,47,TRUE,FALSE,FALSE,TRUE,10,-0.65,3,2.5,0.0110103062263853,2.325,"none"
1,0.9,"Oracle-GMM",0.025,161,161,0,93,TRUE,FALSE,FALSE,TRUE,19,-0.65,3,2.5,0.0110103062263853,2.3125,"none"
2,0.1,"DML-IVQR",0.1,41,41,0,40,TRUE,FALSE,TRUE,TRUE,2,-1,3,0.2,0.0529524594230477,3.9,"none"
2,0.1,"DML-IVQR",0.05,81,81,0,80,TRUE,FALSE,TRUE,TRUE,2,-1,3,-0.15,0.0422374787478259,3.95,"none"
2,0.1,"DML-IVQR",0.025,161,161,0,160,TRUE,FALSE,TRUE,TRUE,2,-1,3,-0.15,0.0422374787478259,3.975,"none"
2,0.1,"Full-GMM",0.1,41,41,0,41,TRUE,TRUE,TRUE,TRUE,1,-1,3,1.4,0.0312017059108477,4,"none"
2,0.1,"Full-GMM",0.05,81,81,0,80,TRUE,FALSE,TRUE,TRUE,2,-1,3,2.95,0.0300136989013308,3.95,"none"
2,0.1,"Full-GMM",0.025,161,161,0,158,TRUE,FALSE,TRUE,TRUE,3,-1,3,2.475,0.00133561763935682,3.925,"none"
2,0.1,"Oracle-GMM",0.1,41,41,0,41,TRUE,TRUE,TRUE,TRUE,1,-1,3,-1,0.0320148616438612,4,"none"
2,0.1,"Oracle-GMM",0.05,81,81,0,81,TRUE,TRUE,TRUE,TRUE,1,-1,3,-0.65,0.0145211270162403,4,"none"
2,0.1,"Oracle-GMM",0.025,161,161,0,161,TRUE,TRUE,TRUE,TRUE,1,-1,3,-0.65,0.0145211270162403,4,"none"
2,0.5,"DML-IVQR",0.1,41,41,0,41,TRUE,TRUE,TRUE,TRUE,1,-1,3,0.2,0.0972429902385383,4,"none"
2,0.5,"DML-IVQR",0.05,81,81,0,81,TRUE,TRUE,TRUE,TRUE,1,-1,3,1.15,0.0798731202133855,4,"none"
2,0.5,"DML-IVQR",0.025,161,161,0,161,TRUE,TRUE,TRUE,TRUE,1,-1,3,1.425,0.0458930766774313,4,"none"
2,0.5,"Full-GMM",0.1,41,41,0,38,TRUE,FALSE,TRUE,TRUE,3,-1,3,1.2,0.024961617272933,3.7,"none"
2,0.5,"Full-GMM",0.05,81,81,0,73,TRUE,FALSE,TRUE,TRUE,7,-1,3,0.15,0.0212471723963265,3.6,"none"
2,0.5,"Full-GMM",0.025,161,161,0,141,TRUE,FALSE,TRUE,TRUE,15,-1,3,-0.0249999999999999,0.0110700499712034,3.5,"none"
2,0.5,"Oracle-GMM",0.1,41,41,0,41,TRUE,TRUE,TRUE,TRUE,1,-1,3,0.9,0.11661136741658,4,"none"
2,0.5,"Oracle-GMM",0.05,81,81,0,81,TRUE,TRUE,TRUE,TRUE,1,-1,3,0.15,0.00838722665049597,4,"none"
2,0.5,"Oracle-GMM",0.025,161,161,0,161,TRUE,TRUE,TRUE,TRUE,1,-1,3,0.15,0.00838722665049597,4,"none"
2,0.9,"DML-IVQR",0.1,41,41,0,41,TRUE,TRUE,TRUE,TRUE,1,-1,3,2.8,0.368409370030089,4,"none"
2,0.9,"DML-IVQR",0.05,81,81,0,81,TRUE,TRUE,TRUE,TRUE,1,-1,3,1.25,0.254551194990248,4,"none"
2,0.9,"DML-IVQR",0.025,161,161,0,161,TRUE,TRUE,TRUE,TRUE,1,-1,3,2.975,0.0233963771388196,4,"none"
2,0.9,"Full-GMM",0.1,41,41,0,38,TRUE,FALSE,TRUE,TRUE,4,-1,3,1.1,0.444292673875801,3.7,"none"
2,0.9,"Full-GMM",0.05,81,81,0,76,TRUE,FALSE,TRUE,TRUE,5,-1,3,1.75,0.263599108216059,3.75,"none"
2,0.9,"Full-GMM",0.025,161,161,0,148,TRUE,FALSE,TRUE,TRUE,13,-1,3,1.375,0.0061524840259158,3.675,"none"
2,0.9,"Oracle-GMM",0.1,41,41,0,41,TRUE,TRUE,TRUE,TRUE,1,-1,3,3,0.0412325203425919,4,"none"
2,0.9,"Oracle-GMM",0.05,81,81,0,81,TRUE,TRUE,TRUE,TRUE,1,-1,3,3,0.0412325203425919,4,"none"
2,0.9,"Oracle-GMM",0.025,161,161,0,161,TRUE,TRUE,TRUE,TRUE,1,-1,3,3,0.0412325203425919,4,"none"
3,0.1,"DML-IVQR",0.1,41,41,0,32,TRUE,FALSE,TRUE,TRUE,4,-1,3,2.6,1.67620880077951,3.1,"none"
3,0.1,"DML-IVQR",0.05,81,81,0,64,TRUE,FALSE,TRUE,TRUE,6,-1,3,2.6,1.67620880077951,3.15,"none"
3,0.1,"DML-IVQR",0.025,161,161,0,129,TRUE,FALSE,TRUE,TRUE,12,-1,3,1.875,1.56620076863209,3.2,"none"
3,0.1,"Full-GMM",0.1,41,41,0,40,TRUE,FALSE,TRUE,TRUE,2,-1,3,-0.3,0.102410323279404,3.9,"none"
3,0.1,"Full-GMM",0.05,81,81,0,80,TRUE,FALSE,TRUE,TRUE,2,-1,3,1.85,0.0263286906847037,3.95,"none"
3,0.1,"Full-GMM",0.025,161,161,0,158,TRUE,FALSE,TRUE,TRUE,4,-1,3,1.85,0.0263286906847037,3.925,"none"
3,0.1,"Oracle-GMM",0.1,41,41,0,33,TRUE,FALSE,TRUE,TRUE,3,-1,3,2.8,0.784756876951146,3.2,"none"
3,0.1,"Oracle-GMM",0.05,81,81,0,65,TRUE,FALSE,TRUE,TRUE,6,-1,3,2.95,0.32611451488186,3.2,"none"
3,0.1,"Oracle-GMM",0.025,161,161,0,130,TRUE,FALSE,TRUE,TRUE,10,-1,3,2.95,0.32611451488186,3.225,"none"
3,0.5,"DML-IVQR",0.1,41,41,0,40,TRUE,FALSE,TRUE,TRUE,2,-1,3,2.6,0.0464388119223133,3.9,"none"
3,0.5,"DML-IVQR",0.05,81,81,0,77,TRUE,FALSE,TRUE,TRUE,3,-1,3,2.6,0.0464388119223133,3.8,"none"
3,0.5,"DML-IVQR",0.025,161,161,0,153,TRUE,FALSE,TRUE,TRUE,4,-1,3,2.475,0.00182566372952317,3.8,"none"
3,0.5,"Full-GMM",0.1,41,41,0,36,TRUE,FALSE,TRUE,TRUE,5,-1,3,1.4,0.0185698398253614,3.5,"none"
3,0.5,"Full-GMM",0.05,81,81,0,73,TRUE,FALSE,TRUE,TRUE,6,-1,3,1.4,0.0185698398253614,3.6,"none"
3,0.5,"Full-GMM",0.025,161,161,0,140,TRUE,FALSE,TRUE,TRUE,13,-1,3,0.975,0.0024614580515618,3.475,"none"
3,0.5,"Oracle-GMM",0.1,41,41,0,41,TRUE,TRUE,TRUE,TRUE,1,-1,3,0.4,0.00327661514184944,4,"none"
3,0.5,"Oracle-GMM",0.05,81,81,0,81,TRUE,TRUE,TRUE,TRUE,1,-1,3,0.4,0.00327661514184944,4,"none"
3,0.5,"Oracle-GMM",0.025,161,161,0,161,TRUE,TRUE,TRUE,TRUE,1,-1,3,0.4,0.00327661514184944,4,"none"
3,0.9,"DML-IVQR",0.1,41,41,0,41,TRUE,TRUE,TRUE,TRUE,1,-1,3,2,0.0813667066042142,4,"none"
3,0.9,"DML-IVQR",0.05,81,81,0,81,TRUE,TRUE,TRUE,TRUE,1,-1,3,1.95,0.0178859155018318,4,"none"
3,0.9,"DML-IVQR",0.025,161,161,0,161,TRUE,TRUE,TRUE,TRUE,1,-1,3,1.95,0.0178859155018318,4,"none"
3,0.9,"Full-GMM",0.1,41,41,0,40,TRUE,FALSE,TRUE,TRUE,2,-1,3,-0.1,0.0331642033823119,3.9,"none"
3,0.9,"Full-GMM",0.05,81,81,0,80,TRUE,FALSE,TRUE,TRUE,2,-1,3,-0.1,0.0331642033823119,3.95,"none"
3,0.9,"Full-GMM",0.025,161,161,0,159,TRUE,FALSE,TRUE,TRUE,3,-1,3,-0.575,0.0186886811746358,3.95,"none"
3,0.9,"Oracle-GMM",0.1,41,41,0,40,TRUE,FALSE,TRUE,TRUE,2,-1,3,1.4,0.279207788874746,3.9,"none"
3,0.9,"Oracle-GMM",0.05,81,81,0,80,TRUE,FALSE,TRUE,TRUE,2,-1,3,1.45,0.0438530429951602,3.95,"none"
3,0.9,"Oracle-GMM",0.025,161,161,0,160,TRUE,FALSE,TRUE,TRUE,2,-1,3,1.325,0.0127478841364103,3.975,"none"
4,0.1,"DML-IVQR",0.1,41,41,0,35,TRUE,FALSE,FALSE,TRUE,2,-0.6,3,2.2,0.627389526173687,3.45,"none"
4,0.1,"DML-IVQR",0.05,81,81,0,69,TRUE,FALSE,FALSE,TRUE,3,-0.6,3,2.05,0.578754254553364,3.425,"none"
4,0.1,"DML-IVQR",0.025,161,161,0,138,TRUE,FALSE,FALSE,TRUE,3,-0.6,3,2.075,0.308596622993511,3.4375,"none"
4,0.1,"Full-GMM",0.1,41,41,0,38,TRUE,FALSE,FALSE,TRUE,2,-0.9,3,2.1,0.0264900441276307,3.75,"none"
4,0.1,"Full-GMM",0.05,81,81,0,77,TRUE,FALSE,FALSE,TRUE,3,-0.95,3,2.15,0.00669485483558612,3.825,"none"
4,0.1,"Full-GMM",0.025,161,161,0,153,TRUE,FALSE,FALSE,TRUE,6,-0.95,3,2.15,0.00669485483558612,3.8125,"none"
4,0.1,"Oracle-GMM",0.1,41,41,0,41,TRUE,TRUE,TRUE,TRUE,1,-1,3,-0.2,0.206501041557763,4,"none"
4,0.1,"Oracle-GMM",0.05,81,81,0,81,TRUE,TRUE,TRUE,TRUE,1,-1,3,-0.2,0.206501041557763,4,"none"
4,0.1,"Oracle-GMM",0.025,161,161,0,158,TRUE,FALSE,TRUE,TRUE,4,-1,3,-0.225,0.0995078210554032,3.925,"none"
4,0.5,"DML-IVQR",0.1,41,41,0,35,TRUE,FALSE,TRUE,TRUE,2,-1,3,0.3,0.519723367943309,3.4,"none"
4,0.5,"DML-IVQR",0.05,81,81,0,71,TRUE,FALSE,TRUE,TRUE,3,-1,3,0.3,0.519723367943309,3.5,"none"
4,0.5,"DML-IVQR",0.025,161,161,0,142,TRUE,FALSE,TRUE,TRUE,3,-1,3,0.175,0.504527845267743,3.525,"none"
4,0.5,"Full-GMM",0.1,41,41,0,36,TRUE,FALSE,TRUE,TRUE,3,-1,3,1.5,0.467158598453318,3.5,"none"
4,0.5,"Full-GMM",0.05,81,81,0,73,TRUE,FALSE,TRUE,TRUE,7,-1,3,1.05,0.220065522450157,3.6,"none"
4,0.5,"Full-GMM",0.025,161,161,0,145,TRUE,FALSE,TRUE,TRUE,10,-1,3,0.925,0.0348130299578961,3.6,"none"
4,0.5,"Oracle-GMM",0.1,41,41,0,36,TRUE,FALSE,TRUE,TRUE,4,-1,3,0.5,0.22276766230945,3.5,"none"
4,0.5,"Oracle-GMM",0.05,81,81,0,68,TRUE,FALSE,TRUE,TRUE,8,-1,3,0.5,0.22276766230945,3.35,"none"
4,0.5,"Oracle-GMM",0.025,161,161,0,136,TRUE,FALSE,TRUE,TRUE,9,-1,3,-0.975,0.148251488563927,3.375,"none"
4,0.9,"DML-IVQR",0.1,41,41,0,40,TRUE,FALSE,TRUE,TRUE,2,-1,3,2.7,0.304581033090382,3.9,"none"
4,0.9,"DML-IVQR",0.05,81,81,0,78,TRUE,FALSE,TRUE,TRUE,2,-1,3,2.85,0.0550258253142006,3.85,"none"
4,0.9,"DML-IVQR",0.025,161,161,0,154,TRUE,FALSE,TRUE,TRUE,5,-1,3,2.85,0.0550258253142006,3.825,"none"
4,0.9,"Full-GMM",0.1,41,41,0,38,TRUE,FALSE,FALSE,TRUE,3,-0.9,3,2.9,0.0869534591378772,3.75,"none"
4,0.9,"Full-GMM",0.05,81,81,0,74,TRUE,FALSE,FALSE,TRUE,7,-0.95,3,-0.75,0.0562456087710191,3.675,"none"
4,0.9,"Full-GMM",0.025,161,161,0,148,TRUE,FALSE,FALSE,TRUE,9,-0.975,3,-0.75,0.0562456087710191,3.6875,"none"
4,0.9,"Oracle-GMM",0.1,41,41,0,41,TRUE,TRUE,TRUE,TRUE,1,-1,3,2.5,0.279756046627891,4,"none"
4,0.9,"Oracle-GMM",0.05,81,81,0,81,TRUE,TRUE,TRUE,TRUE,1,-1,3,2.75,0.00290698646628144,4,"none"
4,0.9,"Oracle-GMM",0.025,161,161,0,161,TRUE,TRUE,TRUE,TRUE,1,-1,3,2.75,0.00290698646628144,4,"none"
5,0.1,"DML-IVQR",0.1,41,41,0,41,TRUE,TRUE,TRUE,TRUE,1,-1,3,-0.5,0.742461060821925,4,"none"
5,0.1,"DML-IVQR",0.05,81,81,0,80,TRUE,FALSE,TRUE,TRUE,2,-1,3,-0.55,0.401154554606529,3.95,"none"
5,0.1,"DML-IVQR",0.025,161,161,0,160,TRUE,FALSE,TRUE,TRUE,2,-1,3,-0.725,0.112027522630537,3.975,"none"
5,0.1,"Full-GMM",0.1,41,41,0,41,TRUE,TRUE,TRUE,TRUE,1,-1,3,2,0.00412454791716204,4,"none"
5,0.1,"Full-GMM",0.05,81,81,0,80,TRUE,FALSE,TRUE,TRUE,2,-1,3,2,0.00412454791716204,3.95,"none"
5,0.1,"Full-GMM",0.025,161,161,0,157,TRUE,FALSE,TRUE,TRUE,5,-1,3,2,0.00412454791716204,3.9,"none"
5,0.1,"Oracle-GMM",0.1,41,41,0,41,TRUE,TRUE,TRUE,TRUE,1,-1,3,1,0.110456678068844,4,"none"
5,0.1,"Oracle-GMM",0.05,81,81,0,81,TRUE,TRUE,TRUE,TRUE,1,-1,3,-0.45,0.0895194539490971,4,"none"
5,0.1,"Oracle-GMM",0.025,161,161,0,161,TRUE,TRUE,TRUE,TRUE,1,-1,3,1.025,0.00373397217712076,4,"none"
5,0.5,"DML-IVQR",0.1,41,41,0,40,TRUE,FALSE,TRUE,TRUE,2,-1,3,0.1,0.109133758528158,3.9,"none"
5,0.5,"DML-IVQR",0.05,81,81,0,78,TRUE,FALSE,TRUE,TRUE,3,-1,3,0.1,0.109133758528158,3.85,"none"
5,0.5,"DML-IVQR",0.025,161,161,0,156,TRUE,FALSE,TRUE,TRUE,3,-1,3,0.125,0.105337248295366,3.875,"none"
5,0.5,"Full-GMM",0.1,41,41,0,40,TRUE,FALSE,TRUE,TRUE,2,-1,3,3,0.0122286769477612,3.9,"none"
5,0.5,"Full-GMM",0.05,81,81,0,80,TRUE,FALSE,TRUE,TRUE,2,-1,3,2.85,0.00119061767660585,3.95,"none"
5,0.5,"Full-GMM",0.025,161,161,0,160,TRUE,FALSE,TRUE,TRUE,2,-1,3,1.625,0.00112972530760269,3.975,"none"
5,0.5,"Oracle-GMM",0.1,41,41,0,41,TRUE,TRUE,TRUE,TRUE,1,-1,3,0.7,0.0387236698951062,4,"none"
5,0.5,"Oracle-GMM",0.05,81,81,0,81,TRUE,TRUE,TRUE,TRUE,1,-1,3,0.75,0.0207243081378325,4,"none"
5,0.5,"Oracle-GMM",0.025,161,161,0,161,TRUE,TRUE,TRUE,TRUE,1,-1,3,0.725,0.0107879369220733,4,"none"
5,0.9,"DML-IVQR",0.1,41,41,0,35,TRUE,FALSE,TRUE,TRUE,4,-1,3,2.8,0.0256698086930127,3.4,"none"
5,0.9,"DML-IVQR",0.05,81,81,0,70,TRUE,FALSE,TRUE,TRUE,5,-1,3,2.85,0.00115719015609028,3.45,"none"
5,0.9,"DML-IVQR",0.025,161,161,0,140,TRUE,FALSE,TRUE,TRUE,8,-1,3,2.85,0.00115719015609028,3.475,"none"
5,0.9,"Full-GMM",0.1,41,41,0,38,TRUE,FALSE,TRUE,TRUE,4,-1,3,-0.7,0.0338694465590863,3.7,"none"
5,0.9,"Full-GMM",0.05,81,81,0,77,TRUE,FALSE,TRUE,TRUE,5,-1,3,0.05,0.00455974654274154,3.8,"none"
5,0.9,"Full-GMM",0.025,161,161,0,154,TRUE,FALSE,TRUE,TRUE,8,-1,3,2.625,0.00445172217024694,3.825,"none"
5,0.9,"Oracle-GMM",0.1,41,41,0,41,TRUE,TRUE,TRUE,TRUE,1,-1,3,2.9,0.0477566663344351,4,"none"
5,0.9,"Oracle-GMM",0.05,81,81,0,81,TRUE,TRUE,TRUE,TRUE,1,-1,3,2.9,0.0477566663344351,4,"none"
5,0.9,"Oracle-GMM",0.025,161,161,0,161,TRUE,TRUE,TRUE,TRUE,1,-1,3,2.9,0.0477566663344351,4,"none"
6,0.1,"DML-IVQR",0.1,41,41,0,41,TRUE,TRUE,TRUE,TRUE,1,-1,3,-0.6,0.174540476969079,4,"none"
6,0.1,"DML-IVQR",0.05,81,81,0,81,TRUE,TRUE,TRUE,TRUE,1,-1,3,-0.15,0.0520766860014569,4,"none"
6,0.1,"DML-IVQR",0.025,161,161,0,161,TRUE,TRUE,TRUE,TRUE,1,-1,3,-0.15,0.0520766860014569,4,"none"
6,0.1,"Full-GMM",0.1,41,41,0,41,TRUE,TRUE,TRUE,TRUE,1,-1,3,0.7,0.0280911576741428,4,"none"
6,0.1,"Full-GMM",0.05,81,81,0,79,TRUE,FALSE,TRUE,TRUE,3,-1,3,0.7,0.0280911576741428,3.9,"none"
6,0.1,"Full-GMM",0.025,161,161,0,159,TRUE,FALSE,TRUE,TRUE,3,-1,3,-0.825,0.0257700144843294,3.95,"none"
6,0.1,"Oracle-GMM",0.1,41,41,0,40,TRUE,FALSE,TRUE,TRUE,2,-1,3,-0.1,0.317860201361576,3.9,"none"
6,0.1,"Oracle-GMM",0.05,81,81,0,74,TRUE,FALSE,TRUE,TRUE,6,-1,3,-0.65,0.294527201239745,3.65,"none"
6,0.1,"Oracle-GMM",0.025,161,161,0,147,TRUE,FALSE,TRUE,TRUE,7,-1,3,-0.175,0.00259750240696895,3.65,"none"
6,0.5,"DML-IVQR",0.1,41,41,0,41,TRUE,TRUE,TRUE,TRUE,1,-1,3,1.5,0.0290114563737818,4,"none"
6,0.5,"DML-IVQR",0.05,81,81,0,81,TRUE,TRUE,TRUE,TRUE,1,-1,3,1.55,0.00248417127506074,4,"none"
6,0.5,"DML-IVQR",0.025,161,161,0,160,TRUE,FALSE,TRUE,TRUE,2,-1,3,1.55,0.00248417127506074,3.975,"none"
6,0.5,"Full-GMM",0.1,41,41,0,39,TRUE,FALSE,FALSE,TRUE,2,-0.9,3,2.6,0.0175194476617192,3.85,"none"
