"replication","tau","estimator","accepted_measure_020","accepted_measure_010","accepted_measure_005","measure_diff_020_005","measure_absdiff_020_005","measure_diff_010_005","measure_absdiff_010_005","component_diff_020_005","component_diff_010_005","all_accepted_changed_020","all_accepted_changed_010","left_endpoint_changed_020","left_endpoint_changed_010","right_endpoint_changed_020","right_endpoint_changed_010","any_accepted_changed_020","any_accepted_changed_010","n_components_005","components_missed_by_010","components_missed_by_020","comparison_status"
1,0.1,"DML-IVQR",4,4,3.95,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.0499999999999998,-1,-1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,"complete"
1,0.1,"Full-GMM",4,3.9,3.85,0.15,0.15,0.0500000000000003,0.0500000000000003,-3,-2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,1,"complete"
1,0.1,"Oracle-GMM",4,4,4,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,"complete"
1,0.5,"DML-IVQR",2.9,2.95,3.025,-0.125,0.125,-0.0750000000000002,0.0750000000000002,-1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1,"complete"
1,0.5,"Full-GMM",2.7,2.75,2.875,-0.175,0.175,-0.125,0.125,-3,-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,2,3,"complete"
1,0.5,"Oracle-GMM",3.6,3.6,3.55,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.0499999999999998,-5,-4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,1,3,"complete"
1,0.9,"DML-IVQR",1.1,1.15,1.175,-0.075,0.075,-0.0249999999999999,0.0249999999999999,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,"complete"
1,0.9,"Full-GMM",3.3,3.35,3.525,-0.225,0.225,-0.175,0.175,-5,-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,1,2,"complete"
1,0.9,"Oracle-GMM",1.9,2.05,2.325,-0.425,0.425,-0.275,0.275,-8,-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,3,6,"complete"
2,0.1,"DML-IVQR",4,3.9,3.95,0.0499999999999998,0.0499999999999998,-0.0499999999999998,0.0499999999999998,-1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,"complete"
2,0.1,"Full-GMM",4,4,3.95,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.0499999999999998,-1,-1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,"complete"
2,0.1,"Oracle-GMM",4,4,4,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,"complete"
2,0.5,"DML-IVQR",4,4,4,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,"complete"
2,0.5,"Full-GMM",3.6,3.7,3.6,0,0,0.1,0.1,-4,-4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,1,3,"complete"
2,0.5,"Oracle-GMM",4,4,4,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,"complete"
2,0.9,"DML-IVQR",4,4,4,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,"complete"
2,0.9,"Full-GMM",4,3.7,3.75,0.25,0.25,-0.0499999999999998,0.0499999999999998,-4,-1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,0,"complete"
2,0.9,"Oracle-GMM",4,4,4,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,"complete"
3,0.1,"DML-IVQR",3.2,3.1,3.15,0.0499999999999998,0.0499999999999998,-0.0500000000000003,0.0500000000000003,-3,-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,2,2,"complete"
3,0.1,"Full-GMM",4,3.9,3.95,0.0499999999999998,0.0499999999999998,-0.0499999999999998,0.0499999999999998,-1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,"complete"
3,0.1,"Oracle-GMM",3.2,3.2,3.2,0,0,0,0,-4,-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,1,1,"complete"
3,0.5,"DML-IVQR",4,3.9,3.8,0.2,0.2,0.1,0.1,-2,-1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,"complete"
3,0.5,"Full-GMM",3.4,3.5,3.6,-0.2,0.2,-0.1,0.1,-3,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,1,2,"complete"
3,0.5,"Oracle-GMM",4,4,4,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,"complete"
3,0.9,"DML-IVQR",4,4,4,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,"complete"
3,0.9,"Full-GMM",3.8,3.9,3.95,-0.15,0.15,-0.0499999999999998,0.0499999999999998,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,"complete"
3,0.9,"Oracle-GMM",4,3.9,3.95,0.0499999999999998,0.0499999999999998,-0.0499999999999998,0.0499999999999998,-1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,"complete"
4,0.1,"DML-IVQR",3.5,3.45,3.425,0.0749999999999997,0.0749999999999997,0.0249999999999999,0.0249999999999999,-1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,"complete"
4,0.1,"Full-GMM",3.7,3.75,3.825,-0.125,0.125,-0.0750000000000002,0.0750000000000002,-1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,1,"complete"
4,0.1,"Oracle-GMM",4,4,4,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,"complete"
