"replication","n","kappa","tau","estimator","alpha","W","critical_value","accepted","status"
1,500,0.1,0.1,"Oracle-GMM",-1,0.337696575405052,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.95,0.414086375828003,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.9,0.838642466048077,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.85,0.315275860667983,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.8,0.0602144698414019,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.75,0.131887498945668,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.7,3.01769691033276,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.65,1.30763267000427,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.6,1.35437954140206,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.55,0.094952540998735,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.5,1.83849237484829,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.45,0.0765985958405529,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.4,0.148635012990539,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.35,0.917188742438133,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.3,1.83961193576779,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.25,2.05570032635254,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.2,0.763326698935311,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.15,0.236073254488808,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.1,1.00911039341573,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.0499999999999999,1.50084445487613,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0,0.60864341197421,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.05,1.18930094549988,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.1,2.61365416269517,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.15,1.59166372501451,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.2,0.695135199160652,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.25,0.956941788305891,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.3,0.514808285659045,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.35,1.26845198657571,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.4,0.814471123878718,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.45,1.34932629502303,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.5,2.46449913054215,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.55,1.92353698394835,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.6,2.77689689125276,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.65,3.08240467649723,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.7,1.4312878487596,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.75,3.51411025246667,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.8,1.09668377991159,5.99146454710798,TRUE,"OK"
