"replication","n","kappa","tau","estimator","alpha","W","critical_value","accepted","status"
1,500,0.1,0.1,"Oracle-GMM",-3,0.471694853274669,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-2.8,0.267315940340881,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-2.6,0.565864563731006,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-2.4,0.13023294538343,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-2.2,0.44806358523165,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-2,0.845521319445427,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-1.8,0.489423506558242,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-1.6,0.389011830987182,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-1.4,1.6838087358168,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-1.2,1.24846080951992,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-1,0.337696575405052,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.8,0.0602144698414019,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.6,1.35437954140206,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.4,0.148635012990539,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.2,0.763326698935311,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0,0.60864341197421,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.2,0.695135199160652,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.4,0.814471123878718,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.6,2.77689689125276,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.8,1.09668377991159,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1,2.01869159608906,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.2,0.31200665787607,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.4,2.28610394088575,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.6,2.68312175287234,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",1.8,0.729639780011245,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2,1.20269434544754,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",2.2,0.351365038376636,5.99146454710798,TRUE,"OK"
