"replication","tau","estimator","alpha_hat_grid","min_W","n_alpha_success","n_alpha_failure","n_accepted_gridpoints","left_endpoint_accepted","right_endpoint_accepted","any_accepted","all_accepted","n_accepted_components_grid"
1,0.1,"Oracle-GMM",-0.8,0.0602144698414019,41,0,41,TRUE,TRUE,TRUE,TRUE,1
1,0.1,"Full-GMM",3.2,0.0339931353822378,41,0,38,FALSE,TRUE,TRUE,FALSE,2
1,0.1,"DML-IVQR",2.4,0.00242760911151908,41,0,40,TRUE,TRUE,TRUE,FALSE,2
1,0.5,"Oracle-GMM",1.4,0.242233799645487,41,0,36,TRUE,TRUE,TRUE,FALSE,6
1,0.5,"Full-GMM",1.8,0.170355412340135,41,0,23,FALSE,TRUE,TRUE,FALSE,5
1,0.5,"DML-IVQR",1.8,0.000830224415283301,41,0,24,FALSE,TRUE,TRUE,FALSE,2
1,0.9,"Oracle-GMM",3.4,0.0526399244472877,41,0,20,FALSE,TRUE,TRUE,FALSE,2
1,0.9,"Full-GMM",0.6,0.117208414820273,41,0,36,TRUE,TRUE,TRUE,FALSE,4
1,0.9,"DML-IVQR",2.6,0.318775755346929,41,0,16,FALSE,TRUE,TRUE,FALSE,2
2,0.1,"Oracle-GMM",-1,0.0320148616438612,41,0,41,TRUE,TRUE,TRUE,TRUE,1
2,0.1,"Full-GMM",1.4,0.0312017059108477,41,0,41,TRUE,TRUE,TRUE,TRUE,1
2,0.1,"DML-IVQR",0.2,0.0529524594230477,41,0,29,FALSE,FALSE,TRUE,FALSE,2
2,0.5,"Oracle-GMM",0.4,0.19257317188233,41,0,41,TRUE,TRUE,TRUE,TRUE,1
2,0.5,"Full-GMM",1.2,0.024961617272933,41,0,35,TRUE,FALSE,TRUE,FALSE,5
2,0.5,"DML-IVQR",0.2,0.0972429902385383,41,0,41,TRUE,TRUE,TRUE,TRUE,1
2,0.9,"Oracle-GMM",3,0.0412325203425919,41,0,41,TRUE,TRUE,TRUE,TRUE,1
2,0.9,"Full-GMM",-2.6,0.091759832758605,41,0,41,TRUE,TRUE,TRUE,TRUE,1
2,0.9,"DML-IVQR",5,0.174801010609243,41,0,41,TRUE,TRUE,TRUE,TRUE,1
3,0.1,"Oracle-GMM",-3,0.0332941693711651,41,0,37,TRUE,TRUE,TRUE,FALSE,2
3,0.1,"Full-GMM",4,0.0688159629334429,41,0,39,TRUE,TRUE,TRUE,FALSE,2
3,0.1,"DML-IVQR",-1.6,1.28399428380003,41,0,36,TRUE,TRUE,TRUE,FALSE,4
3,0.5,"Oracle-GMM",0.4,0.00327661514184944,41,0,41,TRUE,TRUE,TRUE,TRUE,1
3,0.5,"Full-GMM",1.4,0.0185698398253614,41,0,29,FALSE,TRUE,TRUE,FALSE,6
3,0.5,"DML-IVQR",2.6,0.0464388119223133,41,0,31,FALSE,TRUE,TRUE,FALSE,1
3,0.9,"Oracle-GMM",4.4,0.0585234724823777,41,0,41,TRUE,TRUE,TRUE,TRUE,1
3,0.9,"Full-GMM",-1.8,0.168884205257162,41,0,39,TRUE,TRUE,TRUE,FALSE,3
3,0.9,"DML-IVQR",2,0.0813667066042142,41,0,41,TRUE,TRUE,TRUE,TRUE,1
4,0.1,"Oracle-GMM",-0.2,0.206501041557763,41,0,38,TRUE,TRUE,TRUE,FALSE,3
4,0.1,"Full-GMM",3.8,0.0763687870663181,41,0,35,FALSE,TRUE,TRUE,FALSE,4
