"replication","tau","estimator","component_id","first_accepted_alpha","last_accepted_alpha","n_gridpoints"
1,0.1,"Oracle-GMM",1,-40,10.4,253
1,0.1,"Oracle-GMM",2,10.8,40,147
1,0.1,"Full-GMM",1,-40,-39.6,3
1,0.1,"Full-GMM",2,-39,-39,1
1,0.1,"Full-GMM",3,-38.6,-37.8,5
1,0.1,"Full-GMM",4,-37.4,-37.4,1
1,0.1,"Full-GMM",5,-36.8,-36.8,1
1,0.1,"Full-GMM",6,-36.4,-36.4,1
1,0.1,"Full-GMM",7,-36,-35.8,2
1,0.1,"Full-GMM",8,-35.4,-35.4,1
1,0.1,"Full-GMM",9,-34.6,-33.6,6
1,0.1,"Full-GMM",10,-33.2,-33.2,1
1,0.1,"Full-GMM",11,-32.2,-32.2,1
1,0.1,"Full-GMM",12,-31.8,-31.2,4
1,0.1,"Full-GMM",13,-30.8,-30.6,2
1,0.1,"Full-GMM",14,-30.2,-30.2,1
1,0.1,"Full-GMM",15,-29.8,-29.8,1
1,0.1,"Full-GMM",16,-29.4,-28.8,4
1,0.1,"Full-GMM",17,-28.4,-28.2,2
1,0.1,"Full-GMM",18,-27.8,-27.8,1
1,0.1,"Full-GMM",19,-27.4,-25.8,9
1,0.1,"Full-GMM",20,-25.2,-25,2
1,0.1,"Full-GMM",21,-24.4,-24.4,1
1,0.1,"Full-GMM",22,-23.6,-23.6,1
1,0.1,"Full-GMM",23,-23.2,-23.2,1
1,0.1,"Full-GMM",24,-22.8,-20.8,11
1,0.1,"Full-GMM",25,-20.2,-20.2,1
1,0.1,"Full-GMM",26,-19.8,-19.6,2
1,0.1,"Full-GMM",27,-19.2,-18.6,4
1,0.1,"Full-GMM",28,-18.2,-17.8,3
1,0.1,"Full-GMM",29,-17.4,-17.4,1
1,0.1,"Full-GMM",30,-17,-16.4,4
1,0.1,"Full-GMM",31,-16,-15.4,4
1,0.1,"Full-GMM",32,-15,-15,1
1,0.1,"Full-GMM",33,-14.2,-13.6,4
1,0.1,"Full-GMM",34,-13.2,-12.8,3
1,0.1,"Full-GMM",35,-12.4,-12,3
1,0.1,"Full-GMM",36,-11.6,-11.4,2
