"replication","n","kappa","tau","estimator","alpha","W","critical_value","accepted","status"
1,500,0.1,0.1,"Oracle-GMM",-40,1.3927007436715,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-39.8,1.68556631605154,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-39.6,1.427800841477,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-39.4,1.68556840116103,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-39.2,1.68556946192692,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-39,1.68557053506532,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-38.8,1.19213171048473,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-38.6,1.1767430750312,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-38.4,2.14972210475014,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-38.2,0.704976212530919,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-38,0.7376925713654,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-37.8,1.93321863673084,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-37.6,1.11309233240821,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-37.4,1.52029309424683,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-37.2,2.63829642430776,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-37,0.704962541347316,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-36.8,1.37231489634809,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-36.6,1.68558444494535,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-36.4,2.28254591315865,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-36.2,0.205851613021611,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-36,1.30831174857783,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-35.8,0.745325725721949,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-35.6,0.324389830876612,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-35.4,1.43048998592087,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-35.2,0.854572474034997,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-35,1.27030973432857,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-34.8,0.78926565509802,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-34.6,1.59497440504131,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-34.4,2.32624633291807,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-34.2,2.52638363872373,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-34,0.70492288132922,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-33.8,1.68560341584683,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-33.6,1.68560489903975,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-33.4,1.68560640061274,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-33.2,0.734169541674028,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-33,1.64690101100399,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-32.8,1.2173269029502,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-32.6,0.785771693318363,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-32.4,0.704897892793845,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-32.2,1.24193776418237,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-32,1.68561744786023,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-31.8,1.37537670569644,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-31.6,1.43042994672838,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-31.4,1.68562248412367,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-31.2,1.68562420507035,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-31,1.6856259475642,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-30.8,2.50517300706733,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-30.6,0.704865867182725,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-30.4,1.31238173319255,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-30.2,0.704858112637464,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-30,0.704854141137003,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-29.8,0.938473659015546,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-29.6,1.75194122578678,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-29.4,1.34626541079975,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-29.2,1.4296673166624,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-29,1.39481806648082,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-28.8,2.25120300725629,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-28.6,1.92356700446298,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-28.4,2.4270504875475,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-28.2,2.04025827299531,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-28,1.31603299620173,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-27.8,1.11313187177098,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-27.6,0.704801037303789,5.99146454710798,TRUE,"OK"
